Municipio,Codigo,Gentilico,Prefeito_2021,Area,Populacao,DensidadeDemografica,Escolarizacao,IDHM,MortalidadeInfantil,ReceitasRealizadas,DespesasEmpenhadas,PIBpercapita
Santa Maria da Boa Vista,2612604,Boavistano,GEORGE RODRIGUES DUARTE,3000.774,42266,13.14,97.4,0.590,15.49,111225.08365,87340.57363,15507.98
Santa Maria do Cambuc&aacute;,2612703,santa-mariense,NELSON SEBASTIAO DE LIMA,92.148,14308,141.31,96.4,0.548,13.95,30854.90134,30389.53873,7844.61
Santa Terezinha,2612802,santa-terezinhense,ADEILSON LUSTOSA DA SILVA,200.327,11914,56.20,97.8,0.593,14.29,29395.25562,29130.4728,7677.92
S&atilde;o Benedito do Sul,2612901,s&atilde;o-beneditense,CLAUDIO JOSE GOMES DE AMORIM JUNIOR,160.477,16239,86.87,83.7,0.530,6.94,32839.95674,28713.69656,6490.85
S&atilde;o Bento do Una,2613008,s&atilde;o-bentense,PEDRO ALEXANDRE MEDEIROS DE SOUZA,719.148,60567,74.03,93,0.593,22.79,117545.24283,93583.40378,21797.56
S&atilde;o Caitano,2613107,s&atilde;o-caitanense,JOSAFA ALMEIDA LIMA,382.483,37488,92.23,97.2,0.591,18.52,65800.72051,56621.96159,10128.36
S&atilde;o Jo&atilde;o,2613206,s&atilde;o-joanense,JOSE WILSON FERREIRA DE LIMA,258.334,23002,82.50,96.3,0.570,8.47,55297.47295,50985.04308,10476.30
S&atilde;o Joaquim do Monte,2613305,s&atilde;o-joaquinense,EDUARDO JOS&Eacute; DE OLIVEIRA LINS,232.070,21439,88.39,94.2,0.537,-,50888.58426,49066.54777,7899.93
S&atilde;o Jos&eacute; da Coroa Grande,2613404,s&atilde;o-jos&eacute;-coroa-grandense,JAZIEL GONSALVES LAGES,69.184,21868,262.19,95.8,0.608,3.31,50301.54464,47248.60275,11324.82
S&atilde;o Jos&eacute; do Belmonte,2613503,belmontense,FRANCISCO ROMONILSON MARIANO DE MOURA,1474.086,34082,22.13,96.2,0.610,25.34,64494.89618,62959.79589,8557.63
S&atilde;o Jos&eacute; do Egito,2613602,egipsiense,EVANDRO PERAZZO VALADARES,780.852,34210,39.84,98.9,0.635,4.81,73405.26229,72014.14856,12071.71
S&atilde;o Louren&ccedil;o da Mata,2613701,s&atilde;o-lourensense,VIN&Iacute;CIUS LABANCA,264.190,114910,392.57,97.1,0.653,9.55,163986.12606,135811.65749,11121.96
S&atilde;o Vicente F&eacute;rrer,2613800,s&atilde;o-vicentino,MARCONE VICENTE DOS SANTOS,113.985,18150,149.14,95.2,0.549,15.33,45895.15197,44805.03463,15171.75
Serra Talhada,2613909,serra-talhadense,M&Aacute;RCIA CONRADO DE LORENA E S&Aacute;,2980.007,87467,26.59,96.7,0.661,13.11,193463.69766,185581.59534,17848.20
Serrita,2614006,serritense,SEBASTIAO BENEDITO DOS SANTOS,1535.190,19226,11.92,98.1,0.595,-,49139.0361,48298.98624,7220.70
Sert&acirc;nia,2614105,sertaniense,&Acirc;NGELO RAFAEL FERREIRA DOS SANTOS,2421.527,36189,13.95,94.6,0.613,18.96,76416.70195,67487.93013,15339.13
Sirinha&eacute;m,2614204,sirinhaense ou sirinhadoara,CAMILA MACHADO LEOCADIO LINS DOS SANTOS,374.321,46845,107.57,94.1,0.597,13.91,93842.43833,84293.05007,11367.75
Moreil&acirc;ndia,2614303,moreirense,VICENTE TEIXEIRA SAMPAIO NETO,404.287,11269,27.52,96.8,0.600,31.45,32639.96161,33534.79318,7504.18
Solid&atilde;o,2614402,solidanense,DJALMA ALVES DE SOUZA,138.398,6034,41.50,96.9,0.585,24.39,22765.32282,19023.23919,7655.82
Surubim,2614501,surubinense,ANA C&Eacute;LIA CABRAL DE FARIAS,252.896,66192,231.42,97.8,0.635,12.51,110620.90318,108333.5446,12455.57
Tabira,2614600,tabirense,MARIA CLAUDENICE PEREIRA DE MELO CRISTOVAO,390.434,28860,68.11,97.2,0.605,10.78,54035.70347,53162.95659,9818.65
Tacaimb&oacute;,2614709,tacaimboense,ALVARO ALCANTARA MARQUES DA SILVA,227.601,12843,55.91,94.4,0.554,17.05,28542.71907,25822.94591,15517.90
Tacaratu,2614808,tacaratuense,WASHINGTON ANGELO DE ARAUJO,1264.532,26439,17.45,96.3,0.573,18.93,51205.88989,55955.89521,7067.31
Tamandar&eacute;,2614857,tamandareense,ISAIAS HONORATO DA SILVA MARQUES,213.750,23852,96.66,95.5,0.593,11.74,65049.79581,62477.66377,13636.78
Taquaritinga do Norte,2615003,taquaritinguense,IVANILDO MESTRE BEZERRA,475.184,29472,52.41,96.2,0.641,13.89,50818.96774,49121.45215,10372.42
